id,product_name,product_price,product_store,product_image,product_rating,api
39,Realme C2,990.000 - 3.690.000 đ,,https://p-vn.ipricegroup.com/uploaded_9e409c5657b16e84029a768aec210ddc.jpg,,
40,OPPO A3s,995.000 - 5.636.000 đ,,https://p-vn.ipricegroup.com/uploaded_c331e2ed253256f52696ede84326de35.jpg,,
41,Xiaomi Redmi 6A 16GB 2GB Xám,995.679 - 2.290.000 đ,,https://p-vn.ipricegroup.com/uploaded_6a16e004c4c66b9f6f62c3c793973103.jpg,,
42,Xiaomi Redmi 6A 16GB 2GB Đen,995.679 - 2.000.000 đ,,https://p-vn.ipricegroup.com/uploaded_fad988839b13f7fa0664cb277d907850.jpg,,
43,Xiaomi Redmi 6A 16GB 2GB Hồng,1.699.000 đ,,https://p-vn.ipricegroup.com/uploaded_4511b9e0fa50d10c71827417fd28e395.jpg,,
44,Xiaomi Redmi 6A,995.679 - 4.000.000 đ,,https://p-vn.ipricegroup.com/uploaded_5604e2371a2a5d677bb1c491e26682ac.jpg,,
45,Xiaomi Redmi 6A 16GB 2GB Vàng,995.679 - 2.290.000 đ,,https://p-vn.ipricegroup.com/uploaded_b52054f6b1584a9c912a3675edbf3970.jpg,,
46,Xiaomi Redmi 6A 16GB 2GB Xanh,995.679 - 2.290.000 đ,,https://p-vn.ipricegroup.com/uploaded_5765bf3159b3c26704ebee8a3a401c33.jpg,,
47,Xiaomi Redmi Note 3,950.000 - 2.950.000 đ,,https://p-vn.ipricegroup.com/uploaded_b669579eef9e83132ab004fbfc161d6c.jpg,,
48,Xiaomi Redmi Note 5 Pro,999.000 - 4.300.000 đ,,https://p-vn.ipricegroup.com/uploaded_1fe447d84e490c4047a0cf6fc923848e.jpg,,
49,Xiaomi Redmi Note 5 Pro 32GB 3GB Vàng đồng,999.000 - 3.700.000 đ,,https://p-vn.ipricegroup.com/uploaded_9b932a77db7b955b51609f7f1b55fc38.jpg,,
50,Xiaomi Redmi Note 5 Pro 32GB 3GB Đen,999.000 - 3.700.000 đ,,https://p-vn.ipricegroup.com/uploaded_8258afdf9d2d0e2341fd21e2cb6b8698.jpg,,
51,Xiaomi Redmi Note 5 Pro 32GB 3GB Xanh dương,999.000 - 3.700.000 đ,,https://p-vn.ipricegroup.com/uploaded_7bc9e7fb3f7ecdc466806aedf16fa61a.jpg,,
52,Oppo F9,1.000.000 - 7.690.000 đ,,https://p-vn.ipricegroup.com/uploaded_8a6068fc06c557167770a4591dacccd7.jpg,,
53,Vivo Y93 128GB 6GB Xanh Đại Dương,1.026.210 - 1.500.000 đ,,https://p-vn.ipricegroup.com/uploaded_7b59c42cda810b4338834bbb5b9409cb.jpg,,
54,Vivo Y93,1.026.210 - 3.790.100 đ,,https://p-vn.ipricegroup.com/uploaded_ee2126e4cae023c6e2d610ebf1ef5910.jpg,,
55,Vivo Y93 128GB 6GB Đỏ,1.026.210 - 1.200.000 đ,,https://p-vn.ipricegroup.com/uploaded_84e77930df6ba2c294b924b555525e42.jpg,,
56,Samsung Galaxy J8 32GB Vàng,1.029.000 - 1.749.000 đ,,https://p-vn.ipricegroup.com/uploaded_28133ebf62d0a55597613c60b805ed4a.jpg,,
57,Samsung Galaxy J8 32GB Tím,1.029.000 - 1.749.000 đ,,https://p-vn.ipricegroup.com/uploaded_7ecaef08b854ad65608c92d82cb00952.jpg,,
58,Samsung Galaxy J8,1.029.000 - 3.500.000 đ,,https://p-vn.ipricegroup.com/uploaded_6844c0da0c72228f16d2417b9d81c59e.jpg,,
